date,spy_open,spy_high,spy_low,spy_close,spy_close_prev_day,spy_volume,expiration_date,minus_2_strike,minus_1_strike,atm_strike,plus_1_strike,plus_2_strike,plus_3_strike,minus_2_call_ticker,minus_1_call_ticker,atm_call_ticker,plus_1_call_ticker,plus_2_call_ticker,plus_3_call_ticker,minus_2_call_open,minus_1_call_open,atm_call_open,plus_1_call_open,plus_2_call_open,plus_3_call_open,minus_2_call_high,minus_1_call_high,atm_call_high,plus_1_call_high,plus_2_call_high,plus_3_call_high,minus_2_call_low,minus_1_call_low,atm_call_low,plus_1_call_low,plus_2_call_low,plus_3_call_low,minus_2_call_close,minus_1_call_close,atm_call_close,plus_1_call_close,plus_2_call_close,plus_3_call_close,minus_2_call_volume,minus_1_call_volume,atm_call_volume,plus_1_call_volume,plus_2_call_volume,plus_3_call_volume,minus_2_call_vwap,minus_1_call_vwap,atm_call_vwap,plus_1_call_vwap,plus_2_call_vwap,plus_3_call_vwap,minus_2_put_ticker,minus_1_put_ticker,atm_put_ticker,plus_1_put_ticker,plus_2_put_ticker,plus_3_put_ticker,minus_2_put_open,minus_1_put_open,atm_put_open,plus_1_put_open,plus_2_put_open,plus_3_put_open,minus_2_put_high,minus_1_put_high,atm_put_high,plus_1_put_high,plus_2_put_high,plus_3_put_high,minus_2_put_low,minus_1_put_low,atm_put_low,plus_1_put_low,plus_2_put_low,plus_3_put_low,minus_2_put_close,minus_1_put_close,atm_put_close,plus_1_put_close,plus_2_put_close,plus_3_put_close,minus_2_put_volume,minus_1_put_volume,atm_put_volume,plus_1_put_volume,plus_2_put_volume,plus_3_put_volume,minus_2_put_vwap,minus_1_put_vwap,atm_put_vwap,plus_1_put_vwap,plus_2_put_vwap,plus_3_put_vwap
2025-01-16,594.175,594.35,590.93,591.64,592.78,43292162.0,2025-01-16,591,592,593,594,595,596,O:SPY250116C00591000,O:SPY250116C00592000,O:SPY250116C00593000,O:SPY250116C00594000,O:SPY250116C00595000,O:SPY250116C00596000,3.76,2.96,2.28,1.72,1.19,0.8,3.78,3.01,2.31,1.72,1.22,0.83,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80716,287850,568252,479038,394016,156136,1.6988,1.1312,0.8212,0.6033,0.3528,0.2561,O:SPY250116P00591000,O:SPY250116P00592000,O:SPY250116P00593000,O:SPY250116P00594000,O:SPY250116P00595000,O:SPY250116P00596000,0.63,0.86,1.14,1.55,2.07,2.71,1.42,1.9,2.58,3.57,4.1,5.11,0.01,0.04,0.23,0.89,1.55,2.19,0.55,1.34,2.5,3.57,4.1,5.11,364001,505310,376113,109913,37808,16703,0.5781,0.8424,1.2511,1.7443,2.4413,3.3691
2025-01-17,596.96,599.36,595.61,597.58,591.64,55360878.0,2025-01-17,590,591,592,593,594,595,O:SPY250117C00590000,O:SPY250117C00591000,O:SPY250117C00592000,O:SPY250117C00593000,O:SPY250117C00594000,O:SPY250117C00595000,7.21,6.2,5.2,4.33,3.6,2.73,9.35,8.33,7.35,6.37,5.37,4.39,5.96,4.89,4.08,3.34,2.56,1.91,7.08,6.3,5.25,4.31,3.26,2.3,13874,8804,9133,18136,19464,40227,7.5726,6.3982,5.493,4.3907,3.8559,2.8782,O:SPY250117P00590000,O:SPY250117P00591000,O:SPY250117P00592000,O:SPY250117P00593000,O:SPY250117P00594000,O:SPY250117P00595000,0.21,0.27,0.36,0.62,0.67,0.87,0.27,0.37,0.5,0.7,0.96,1.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,128356,75687,92311,132996,202163,292224,0.088,0.1253,0.1681,0.2301,0.2909,0.4437
2025-01-21,600.67,603.06,598.67,603.05,597.58,42487853.0,2025-01-21,596,597,598,599,600,601,O:SPY250121C00596000,O:SPY250121C00597000,O:SPY250121C00598000,O:SPY250121C00599000,O:SPY250121C00600000,O:SPY250121C00601000,5.03,4.19,3.45,2.67,2.02,1.49,7.5,6.63,5.68,4.48,3.62,2.55,3.34,2.57,1.87,1.32,0.81,0.52,7.11,6.25,4.78,4.0,3.06,2.0,4379,8662,25916,54275,249471,350074,5.0995,3.8573,2.9803,2.1275,1.5162,1.0726,O:SPY250121P00596000,O:SPY250121P00597000,O:SPY250121P00598000,O:SPY250121P00599000,O:SPY250121P00600000,O:SPY250121P00601000,0.38,0.55,0.74,1.0,1.28,1.77,0.62,0.86,1.19,1.62,2.18,2.83,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,93537,149837,238995,330169,414699,333526,0.2333,0.3632,0.4314,0.6523,0.7633,0.6707
2025-01-22,605.92,607.82,605.36,606.44,603.05,48195973.0,2025-01-22,601,602,603,604,605,606,O:SPY250122C00601000,O:SPY250122C00602000,O:SPY250122C00603000,O:SPY250122C00604000,O:SPY250122C00605000,O:SPY250122C00606000,5.04,4.07,2.0,2.35,1.63,0.95,6.78,5.82,4.85,3.87,2.92,2.02,4.24,3.48,2.0,1.71,1.07,0.17,5.32,4.21,3.22,2.14,1.23,0.24,8180,9570,12337,21228,57050,230724,5.334,4.4781,3.5936,2.6656,1.8903,1.2143,O:SPY250122P00601000,O:SPY250122P00602000,O:SPY250122P00603000,O:SPY250122P00604000,O:SPY250122P00605000,O:SPY250122P00606000,0.14,0.21,0.34,0.5,0.73,1.15,0.22,0.31,0.46,0.68,0.99,1.44,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,47175,88938,142684,218662,346162,418893,0.0796,0.1083,0.1601,0.2387,0.3495,0.4226
2025-01-23,605.8,609.75,605.52,609.75,606.44,40935363.0,2025-01-23,604,605,606,607,608,609,O:SPY250123C00604000,O:SPY250123C00605000,O:SPY250123C00606000,O:SPY250123C00607000,O:SPY250123C00608000,O:SPY250123C00609000,2.28,1.54,0.95,0.5,0.25,0.11,5.45,4.64,3.85,2.7,1.66,0.73,2.06,1.31,0.72,0.33,0.13,0.02,5.32,4.3,3.4,2.45,1.37,0.35,11597,44948,212411,423773,515835,288114,2.9319,1.9614,1.1822,0.8013,0.3715,0.1288,O:SPY250123P00604000,O:SPY250123P00605000,O:SPY250123P00606000,O:SPY250123P00607000,O:SPY250123P00608000,O:SPY250123P00609000,0.52,0.8,1.17,1.8,2.43,3.43,0.58,0.87,1.3,1.9,2.67,3.55,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,145115,306902,425215,419426,263003,58141,0.2497,0.3426,0.4558,0.4471,0.6166,1.0659
2025-01-24,609.81,610.78,606.8,607.97,609.75,34604693.0,2025-01-24,608,609,610,611,612,613,O:SPY250124C00608000,O:SPY250124C00609000,O:SPY250124C00610000,O:SPY250124C00611000,O:SPY250124C00612000,O:SPY250124C00613000,2.25,1.59,0.91,0.54,0.21,0.11,3.05,2.22,1.49,0.9,0.48,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,245022,349257,586781,387403,170410,43604,0.5994,0.6626,0.5298,0.3166,0.1788,0.0781,O:SPY250124P00608000,O:SPY250124P00609000,O:SPY250124P00610000,O:SPY250124P00611000,O:SPY250124P00612000,O:SPY250124P00613000,0.52,0.79,1.24,1.86,2.51,3.45,1.3,2.17,3.15,4.05,5.06,6.18,0.1,0.22,0.5,1.03,1.73,2.6,0.43,1.15,2.5,3.2,3.98,5.3,343050,385491,312930,50078,8995,3253,0.4638,0.6811,1.0706,1.6181,2.5733,3.4471
2025-01-27,594.81,599.69,594.64,599.37,607.97,70298125.0,2025-01-27,606,607,608,609,610,611,O:SPY250127C00606000,O:SPY250127C00607000,O:SPY250127C00608000,O:SPY250127C00609000,O:SPY250127C00610000,O:SPY250127C00611000,0.05,0.02,0.03,0.01,0.01,0.02,0.1,0.07,0.09,0.07,0.07,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25931,29225,24208,10089,15861,12260,0.0602,0.0432,0.0255,0.0193,0.0151,0.0123,O:SPY250127P00606000,O:SPY250127P00607000,O:SPY250127P00608000,O:SPY250127P00609000,O:SPY250127P00610000,O:SPY250127P00611000,11.0,11.79,13.0,14.2,15.0,16.0,12.9,12.35,13.3,14.24,15.21,16.27,5.67,6.76,8.1,9.18,9.7,11.38,6.44,7.31,8.31,9.46,10.3,11.96,8214,8529,9345,3317,3065,517,8.565,9.8277,10.4221,11.4696,12.5665,13.9188
2025-01-28,600.62,605.37,597.25,604.52,599.37,44433322.0,2025-01-28,597,598,599,600,601,602,O:SPY250128C00597000,O:SPY250128C00598000,O:SPY250128C00599000,O:SPY250128C00600000,O:SPY250128C00601000,O:SPY250128C00602000,4.33,3.52,2.73,2.12,1.59,1.11,8.26,7.32,6.31,5.35,4.35,3.33,1.95,1.44,1.03,0.7,0.45,0.28,7.0,6.1,4.99,3.97,3.04,1.94,13865,39654,61843,147072,187093,246096,3.4244,2.5726,1.976,1.7508,1.4145,1.1175,O:SPY250128P00597000,O:SPY250128P00598000,O:SPY250128P00599000,O:SPY250128P00600000,O:SPY250128P00601000,O:SPY250128P00602000,0.63,0.78,1.08,1.4,1.85,2.46,1.65,2.13,2.72,3.42,4.15,4.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,91106,135282,213283,226987,213152,269918,0.5775,0.6437,0.632,0.6171,0.6295,0.6701
2025-01-29,603.72,604.13,599.22,601.81,604.52,37155029.0,2025-01-29,603,604,605,606,607,608,O:SPY250129C00603000,O:SPY250129C00604000,O:SPY250129C00605000,O:SPY250129C00606000,O:SPY250129C00607000,O:SPY250129C00608000,2.49,1.94,1.48,1.09,0.76,0.56,2.66,2.08,1.59,1.18,0.85,0.6,0.02,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.02,0.01,0.01,0.01,328243,307731,240414,170349,119264,129331,1.5146,1.1381,0.8027,0.5457,0.3815,0.2236,O:SPY250129P00603000,O:SPY250129P00604000,O:SPY250129P00605000,O:SPY250129P00606000,O:SPY250129P00607000,O:SPY250129P00608000,1.77,2.26,2.8,3.26,4.09,4.65,4.39,5.2,5.96,6.96,7.74,8.68,0.8,1.27,1.93,2.65,3.53,4.46,1.67,2.64,3.91,5.08,6.01,6.8,195931,64844,22640,9532,4873,4515,2.0134,2.475,3.3354,4.0726,4.8018,5.6041
2025-01-30,603.96,606.6,600.715,605.04,601.81,39092005.0,2025-01-30,600,601,602,603,604,605,O:SPY250130C00600000,O:SPY250130C00601000,O:SPY250130C00602000,O:SPY250130C00603000,O:SPY250130C00604000,O:SPY250130C00605000,4.45,3.6,2.9,2.19,1.66,1.19,6.52,5.57,4.57,3.55,2.74,2.04,1.87,1.33,0.81,0.43,0.2,0.08,4.41,3.9,2.39,1.8,0.87,0.35,17148,43720,112751,234645,344826,370973,3.8158,2.3808,1.7597,1.3335,1.0988,0.8011,O:SPY250130P00600000,O:SPY250130P00601000,O:SPY250130P00602000,O:SPY250130P00603000,O:SPY250130P00604000,O:SPY250130P00605000,0.48,0.66,0.91,1.25,1.66,2.13,1.13,1.59,2.17,2.85,3.64,4.47,0.01,0.01,0.01,0.03,0.09,0.2,0.01,0.01,0.02,0.07,0.23,0.63,186745,204864,256621,301069,244644,166183,0.3838,0.51,0.7456,0.848,1.012,1.1374
2025-01-31,607.5,609.96,601.05,601.82,605.04,66644817.0,2025-01-31,603,604,605,606,607,608,O:SPY250131C00603000,O:SPY250131C00604000,O:SPY250131C00605000,O:SPY250131C00606000,O:SPY250131C00607000,O:SPY250131C00608000,4.83,4.02,3.16,2.34,1.74,1.19,7.0,6.02,5.06,4.11,3.22,2.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,100091,125922,160660,159867,191050,315456,1.1069,1.0483,0.9924,0.8798,0.8523,0.9178,O:SPY250131P00603000,O:SPY250131P00604000,O:SPY250131P00605000,O:SPY250131P00606000,O:SPY250131P00607000,O:SPY250131P00608000,0.36,0.45,0.7,0.98,1.28,1.71,2.11,3.0,3.95,4.9,5.89,6.95,0.03,0.05,0.07,0.11,0.17,0.31,1.22,2.52,3.14,4.5,5.6,6.7,164417,224028,249727,206668,333523,346698,0.6958,0.7425,0.7966,0.9106,0.9386,1.0371
2025-02-03,592.67,600.29,590.49,597.77,601.82,65817248.0,2025-02-03,600,601,602,603,604,605,O:SPY250203C00600000,O:SPY250203C00601000,O:SPY250203C00602000,O:SPY250203C00603000,O:SPY250203C00604000,O:SPY250203C00605000,0.24,0.16,0.11,0.09,0.06,0.05,1.37,1.03,0.75,0.92,0.38,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,394732,200168,167540,95678,80552,84779,0.6785,0.4432,0.2652,0.1748,0.0996,0.0689,O:SPY250203P00600000,O:SPY250203P00601000,O:SPY250203P00602000,O:SPY250203P00603000,O:SPY250203P00604000,O:SPY250203P00605000,7.5,8.47,9.36,9.86,11.4,12.3,9.52,10.5,11.5,12.4,13.5,14.48,0.78,1.31,2.04,2.92,3.79,4.87,2.2,3.06,4.14,5.04,6.0,7.1,98652,26624,21520,9235,5208,6573,2.445,3.6686,5.6439,6.8029,8.0954,8.4798
2025-02-04,597.83,602.3,597.28,601.78,597.77,33346815.0,2025-02-04,596,597,598,599,600,601,O:SPY250204C00596000,O:SPY250204C00597000,O:SPY250204C00598000,O:SPY250204C00599000,O:SPY250204C00600000,O:SPY250204C00601000,3.25,2.61,2.05,1.57,1.17,0.84,6.31,5.31,4.4,3.54,2.75,2.03,2.9,2.32,1.8,1.38,0.73,0.23,4.74,3.61,2.62,1.85,0.75,0.25,10097,24836,79574,90788,239410,389441,4.6527,3.5257,2.5574,2.0932,1.7,1.2433,O:SPY250204P00596000,O:SPY250204P00597000,O:SPY250204P00598000,O:SPY250204P00599000,O:SPY250204P00600000,O:SPY250204P00601000,1.37,1.76,2.22,2.72,3.33,4.17,1.6,2.01,2.49,3.04,3.68,4.31,0.01,0.01,0.01,0.02,0.07,0.2,0.01,0.01,0.01,0.03,0.17,0.5,116582,150335,211177,242666,345637,272908,0.4254,0.6201,0.7083,0.7971,0.9455,1.1572
2025-02-05,600.64,604.37,598.58,604.22,601.78,30623149.0,2025-02-05,600,601,602,603,604,605,O:SPY250205C00600000,O:SPY250205C00601000,O:SPY250205C00602000,O:SPY250205C00603000,O:SPY250205C00604000,O:SPY250205C00605000,1.89,1.33,0.87,0.54,0.4,0.16,4.53,3.4,2.42,1.4,0.45,0.21,0.96,0.62,0.37,0.2,0.06,0.02,4.32,3.39,2.32,1.4,0.35,0.03,163749,312699,387561,436196,324829,271408,1.7036,1.2248,0.879,0.5668,0.2362,0.0875,O:SPY250205P00600000,O:SPY250205P00601000,O:SPY250205P00602000,O:SPY250205P00603000,O:SPY250205P00604000,O:SPY250205P00605000,1.19,1.64,2.07,2.91,3.63,4.58,2.35,3.01,3.75,4.6,5.47,6.42,0.01,0.01,0.01,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.6,321077,258001,298086,267474,88001,17368,0.8081,0.6235,0.509,0.6544,0.9243,2.1334
2025-02-06,605.99,606.4525,602.63,606.32,604.22,35771503.0,2025-02-06,602,603,604,605,606,607,O:SPY250206C00602000,O:SPY250206C00603000,O:SPY250206C00604000,O:SPY250206C00605000,O:SPY250206C00606000,O:SPY250206C00607000,4.29,3.44,2.69,1.96,1.25,0.78,4.76,3.71,2.77,2.05,1.44,0.95,1.3,0.89,0.3,0.12,0.01,0.01,3.11,2.03,1.21,0.3,0.01,0.01,21488,59430,162859,390410,499650,292470,3.3119,1.9357,1.3638,1.1327,0.7913,0.4873,O:SPY250206P00602000,O:SPY250206P00603000,O:SPY250206P00604000,O:SPY250206P00605000,O:SPY250206P00606000,O:SPY250206P00607000,0.39,0.53,0.72,0.99,1.38,1.88,0.82,1.28,1.88,2.62,3.43,4.39,0.01,0.02,0.03,0.2,0.5,0.98,0.01,0.02,0.05,0.25,0.94,1.91,167496,270190,334667,391812,134959,19352,0.3588,0.5488,0.8137,1.0913,1.5413,2.3164
