date,ticker,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,day_change,day_change_percent,day_close,day_high,day_low,day_open,day_previous_close,day_volume,day_vwap,day_last_updated,delta,gamma,theta,vega,implied_volatility,break_even_price,open_interest,underlying_ticker,underlying_price,underlying_change_to_break_even,underlying_last_updated,underlying_timeframe
2025-08-18,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-21,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-25,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-19,O:SPY250829P00644000,put,american,2025-08-29,100,644.0,-0.33,-94.3,0.02,1.72,0.02,0.31,0.35,392448.0,0.743,1.75644e+18,,,,,20.0,,15854,SPY,,,,
2025-08-21,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-26,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-18,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-20,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-25,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-22,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-19,O:SPY250829C00646000,call,american,2025-08-29,100,646.0,-3.77,-99.7,0.01,2.34,0.01,2.12,3.78,376773.0,0.4813,1.75644e+18,,,,,20.0,,10564,SPY,,,,
2025-08-22,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-18,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-20,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-19,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-25,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-26,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-21,O:SPY250829C00644000,call,american,2025-08-29,100,644.0,-4.59,-82.1,1.0,3.97,0.26,3.86,5.59,351198.0,1.1421,1.75644e+18,,,,,,,5008,SPY,,,,
2025-08-21,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-22,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-25,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-20,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-26,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-19,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-18,O:SPY250829C00647000,call,american,2025-08-29,100,647.0,-2.89,-99.7,0.01,1.66,0.01,1.44,2.9,346826.0,0.3839,1.75644e+18,,,,,20.0,,34996,SPY,,,,
2025-08-22,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-20,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-21,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-18,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-26,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-19,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-25,O:SPY250829P00643000,put,american,2025-08-29,100,643.0,-0.29,-96.7,0.01,1.21,0.01,0.22,0.3,339832.0,0.5441,1.75644e+18,,,,,20.0,,12143,SPY,,,,
2025-08-18,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-21,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-25,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-19,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-26,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-22,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-20,O:SPY250829P00645000,put,american,2025-08-29,100,645.0,-0.27,-64.3,0.15,2.35,0.08,0.44,0.42,311075.0,1.0453,1.75644e+18,,,,,20.0,,27175,SPY,,,,
2025-08-19,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-21,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-20,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-26,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-22,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-18,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-25,O:SPY250829C00648000,call,american,2025-08-29,100,648.0,-2.14,-99.5,0.01,1.04,0.01,0.9,2.15,281039.0,0.2642,1.75644e+18,,,,,20.0,,15062,SPY,,,,
2025-08-21,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-26,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-19,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-18,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-25,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-20,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-22,O:SPY250829P00642000,put,american,2025-08-29,100,642.0,-0.23,-95.8,0.01,0.83,0.01,0.16,0.24,193740.0,0.3635,1.75644e+18,,,,,20.0,,7877,SPY,,,,
2025-08-22,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-26,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-21,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-18,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-25,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-19,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-20,O:SPY250829P00640000,put,american,2025-08-29,100,640.0,-0.17,-89.5,0.02,0.43,0.01,0.08,0.19,178355.0,0.1517,1.75644e+18,,,,,20.0,,34698,SPY,,,,
2025-08-19,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-21,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-25,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-20,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-26,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-18,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-22,O:SPY250829C00649000,call,american,2025-08-29,100,649.0,-1.43,-99.3,0.01,0.6,0.01,0.49,1.44,143030.0,0.1674,1.75644e+18,,,,,20.0,,13442,SPY,,,,
2025-08-18,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289374788977157,0.1042500483201808,-0.231499099102018,0.2646730121714696,0.0582385203019554,,2515,SPY,,,,
2025-08-26,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289288357778896,0.1042474114686272,-0.2315749895118439,0.2646269994080968,0.0582502909446083,,2515,SPY,,,,
2025-08-25,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289302741113906,0.1042478502772889,-0.2315623563219577,0.2646259234075114,0.0582483316961844,,2515,SPY,,,,
2025-08-21,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289332377375655,0.1042487544235495,-0.2315363311839796,0.2646456769959827,0.0582442953164538,,2515,SPY,,,,
2025-08-22,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289317070388899,0.1042482874363785,-0.231549772200208,0.2646431765214638,0.0582463799916128,,2515,SPY,,,,
2025-08-19,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289360787137487,0.1042496211510745,-0.2315113894377554,0.264665392451362,0.0582404267018467,,2515,SPY,,,,
2025-08-20,O:SPY250902C00645000,call,american,2025-09-02,100,645.0,-3.38,-66.8,1.68,3.74,1.17,3.61,5.06,136039.0,1.7544,1.75644e+18,0.5289346389214056,0.1042491818980402,-0.2315240290132578,0.2646600525791482,0.0582423872081998,,2515,SPY,,,,
2025-08-21,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-20,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-19,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-25,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-22,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-18,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-26,O:SPY250829P00646000,put,american,2025-08-29,100,646.0,0.48,90.566,1.01,3.12,0.54,0.64,0.53,136010.0,1.3666,1.75644e+18,,,,,20.0,,11706,SPY,,,,
2025-08-21,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-19,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-25,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-22,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-20,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-26,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-18,O:SPY250829C00650000,call,american,2025-08-29,100,650.0,-0.92,-98.9,0.01,0.32,0.01,0.27,0.93,115477.0,0.1021,1.75644e+18,,,,,20.0,,35212,SPY,,,,
2025-08-20,O:SPY260116P00575000,put,american,2026-01-16,100,575.0,0.61,9.145,7.28,7.61,6.83,6.89,6.67,109140.0,7.39,1.75644e+18,-0.1549868042321713,0.0028424127698249,-0.0645915268511236,0.9125429634002268,0.214171990652982,,126229,SPY,,,,
2025-08-26,O:SPY260116P00575000,put,american,2026-01-16,100,575.0,0.61,9.145,7.28,7.61,6.83,6.89,6.67,109140.0,7.39,1.75644e+18,-0.1549868450701909,0.0028424140650941,-0.0645919917978512,0.9125402013088444,0.2141726147448648,,126229,SPY,,,,
